coursereferencenumber,coursetitle,trainingprovideralias,skill_cluster,full_course_fee,course_fee_after_subsidies,usd_list,usd_after_ssg,courseratings_stars,courseratings_noofrespondents,attendancecount,number_of_hours,lookup_url,already_in_scored_catalogue
TGS-2024041800,Sustainable Human Resource (HR) Management Practices (Classroom and Asynchronous e-learning),SINGAPORE POLYTECHNIC,esg_reporting,870.0,261.0,678.6,203.58,4.0,12.0,12.0,15.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024041800,False
TGS-2024041801,Sustainable Supply Chain and the Circular Economy (Classroom and Asynchronous e-learning),SINGAPORE POLYTECHNIC,esg_reporting,870.0,261.0,678.6,203.58,4.0,11.0,12.0,15.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024041801,False
TGS-2024049586,Fundamentals of Sustainability,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,esg_reporting,875.0,262.5,682.5,204.75,,,,7.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024049586,False
TGS-2024049687,Driving Sustainability in Manufacturing Through ISO 50001 Energy Management Approach,SINGAPORE POLYTECHNIC,esg_reporting,880.0,264.0,686.4,205.92000000000002,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024049687,False
TGS-2023036644,Sustainability Reporting and GRI Standards,TERTIARY INFOTECH PTE. LTD.,esg_reporting,900.0,450.0,702.0,351.0,4.0,18.0,24.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023036644,False
TGS-2025056098,Wellness & Sustainability Through Blue Zone Innovation,NTUC LEARNINGHUB PTE. LTD.,esg_reporting,900.0,450.0,702.0,351.0,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025056098,False
TGS-2025054154,Sustainable F&B Practices (Part of SCTP),Asian Culinary Institute of Singapore,esg_reporting,920.0,276.0,717.6,215.28,,,,24.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025054154,False
TGS-2025052567,"(SCTP Module) Advocacy for Sustainability (Classroom, Synchronous and Asynchronous)",Republic Polytechnic,esg_reporting,930.0,279.0,725.4,217.62,,,,45.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052567,False
TGS-2025052798,"(SCTP Module) Climate Change Adaptation and Mitigation (Classroom, Synchronous and Asynchronous)",Republic Polytechnic,esg_reporting,930.0,279.0,725.4,217.62,,,17.0,45.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052798,False
TGS-2025052781,"(SCTP Module) Introduction to Sustainability Strategies and Practices (Classroom, Synchronous and Asynchronous)",Republic Polytechnic,esg_reporting,930.0,279.0,725.4,217.62,,,18.0,44.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052781,False
